method,requested_r,effective_r,runtime_seconds,laps_psnr,laps_ssim,laps_gain,reference_gain,aligned_mae,aligned_rmse,aligned_nrmse,data_error_raw,data_error_supported,change_cosine,change_gain,mi_prior_ref,mi_prior_recon,mi_prior_delta,trainable_parameters,stage1_iterations,stage2_iterations
Registered prior,3,2.9767441860465116,0.0,20.784276962280273,0.7492460012435913,1.4752048407896903,1.0322507061629442,0.028770204383941688,0.06393209764169007,0.31117445865881044,1.6052043437957764,1.6052043437957764,0.15089476843960975,0.022353356498315363,1.200013934942738,3.110978392695039,1.910964457752301,,,
Zero-filled,3,2.9767441860465116,0.0,24.003564834594727,0.7894915342330933,1.2099985570862632,0.8466769024021275,0.02308501270499037,0.044132105595038336,0.21480265116554498,0.15349362790584564,0.15349362790584564,0.7738353676827161,0.7168615458618764,1.200013934942738,1.1109905527346147,-0.08902338220812323,,,
CG-SENSE,3,2.9767441860465116,0.09477583388797939,27.359615325927734,0.7608107328414917,1.1697783503085017,0.8185334638094646,0.01933595369998896,0.02998830838575558,0.14596104261008686,0.1279195249080658,0.1279195249080658,0.9121238189804355,0.9073759149144193,1.200013934942738,0.9957451255361497,-0.2042688094065882,,,
Registered prior,5,4.923076923076923,0.0,20.784276962280273,0.7492460012435913,1.4752048407896903,1.0322507061629442,0.028770204383941688,0.06393209764169007,0.31117445865881044,1.6147561073303223,1.6147561073303223,0.15089476843960975,0.022353356498315363,1.200013934942738,3.110978392695039,1.910964457752301,,,
Zero-filled,5,4.923076923076923,0.0,22.272356033325195,0.735676646232605,1.213110994907939,0.8488547803825125,0.027440476749714348,0.053866030034213336,0.26218024050981936,0.1331384778022766,0.1331384778022766,0.6623516009551632,0.6143854446882903,1.200013934942738,1.0586186952397318,-0.14139523970300605,,,
CG-SENSE,5,4.923076923076923,0.03527004295028746,24.851621627807617,0.7024262547492981,1.1766836452552976,0.8233653321629317,0.024558677751008673,0.04002687709919913,0.1948214163557166,0.10126066952943802,0.10126066952943802,0.8345557854395897,0.8007885821740365,1.200013934942738,0.9810514070867953,-0.2189625278559426,,,
Registered prior,6,5.818181818181818,0.0,20.784276962280273,0.7492460012435913,1.4752048407896903,1.0322507061629442,0.028770204383941688,0.06393209764169007,0.31117445865881044,1.6172789335250854,1.6172789335250854,0.15089476843960975,0.022353356498315363,1.200013934942738,3.110978392695039,1.910964457752301,,,
Zero-filled,6,5.818181818181818,0.0,21.58730125427246,0.7061840295791626,1.2093427518871667,0.8462180133304847,0.02983007909638642,0.05828645743237957,0.283695631892316,0.12307371944189072,0.12307371944189072,0.6106258187841993,0.5785054892327958,1.200013934942738,1.0055480694103387,-0.1944658655323992,,,
CG-SENSE,6,5.818181818181818,0.03465189388953149,24.012958526611328,0.6815824508666992,1.176787446616254,0.8234379654848847,0.026514540220654116,0.044084400185396465,0.21457045629680152,0.09372580796480179,0.09372580796480179,0.7960315097064065,0.76925172532068,1.200013934942738,0.9488930644687095,-0.2511208704740284,,,
Registered prior,7,6.7368421052631575,0.0,20.784276962280273,0.7492460012435913,1.4752048407896903,1.0322507061629442,0.028770204383941688,0.06393209764169007,0.31117445865881044,1.6182810068130493,1.6182810068130493,0.15089476843960975,0.022353356498315363,1.200013934942738,3.110978392695039,1.910964457752301,,,
Zero-filled,7,6.7368421052631575,0.0,21.513410568237305,0.7012152671813965,1.2089144150844298,0.8459182915868496,0.029950546742594734,0.058784421100409955,0.28611935300498076,0.11726779490709305,0.11726779490709305,0.6039364540786643,0.5725075819679627,1.200013934942738,1.0070467610778706,-0.19296717386486728,,,
CG-SENSE,7,6.7368421052631575,0.03473844798281789,23.944290161132812,0.68434077501297,1.180604075248111,0.8261085895849843,0.02620943904266856,0.04443430091301772,0.21627351584776597,0.08797913789749146,0.08797913789749146,0.7891209849635383,0.7563214189988158,1.200013934942738,0.9692179268687847,-0.23079600807395317,,,
Registered prior,9,8.533333333333333,0.0,20.784276962280273,0.7492460012435913,1.4752048407896903,1.0322507061629442,0.028770204383941688,0.06393209764169007,0.31117445865881044,1.6209412813186646,1.6209412813186646,0.15089476843960975,0.022353356498315363,1.200013934942738,3.110978392695039,1.910964457752301,,,
Zero-filled,9,8.533333333333333,0.0,21.103727340698242,0.6826021671295166,1.2075731946773425,0.8449797943191785,0.03108956021498598,0.0616235108570727,0.2999379550953524,0.1060778796672821,0.1060778796672821,0.5672476417169637,0.5411765615766669,1.200013934942738,0.9977116533471718,-0.20230228159556607,,,
CG-SENSE,9,8.533333333333333,0.034587753005325794,22.993703842163086,0.6607866287231445,1.1847697426183759,0.8290234478919118,0.02817082432484219,0.04957328233168119,0.2412863000359623,0.07958284765481949,0.07958284765481949,0.735312735908105,0.6982123442504458,1.200013934942738,0.9822556298430192,-0.21775830509971872,,,
Registered prior,11,10.666666666666666,0.0,20.784276962280273,0.7492460012435913,1.4752048407896903,1.0322507061629442,0.028770204383941688,0.06393209764169007,0.31117445865881044,1.6229993104934692,1.6229993104934692,0.15089476843960975,0.022353356498315363,1.200013934942738,3.110978392695039,1.910964457752301,,,
Zero-filled,11,10.666666666666666,0.0,20.701377868652344,0.6649831533432007,1.204308017328431,0.8426950393272162,0.0322254942483894,0.06454518585504232,0.31415852143693485,0.09380769729614258,0.09380769729614258,0.5316698533963258,0.5148413935067954,1.200013934942738,0.9795449713058401,-0.22046896363689783,,,
CG-SENSE,11,10.666666666666666,0.035059587098658085,21.83205223083496,0.6331465840339661,1.1852301619245702,0.8293456188479779,0.030952566426533837,0.056666988861864526,0.2758132492655279,0.07275239378213882,0.07275239378213882,0.6510548245501508,0.6325796309475781,1.200013934942738,0.9347868615656252,-0.2652270733771127,,,
Registered prior,13,12.8,0.0,20.784276962280273,0.7492460012435913,1.4752048407896903,1.0322507061629442,0.028770204383941688,0.06393209764169007,0.31117445865881044,1.6245731115341187,1.6245731115341187,0.15089476843960975,0.022353356498315363,1.200013934942738,3.110978392695039,1.910964457752301,,,
Zero-filled,13,12.8,0.0,20.4283390045166,0.6554373502731323,1.2013937053710229,0.8406557967130154,0.03282946403896894,0.06660638349131157,0.3241909164671998,0.08122673630714417,0.08122673630714417,0.5052098093691191,0.4938333657310229,1.200013934942738,0.9757150646136556,-0.22429887032908224,,,
CG-SENSE,13,12.8,0.03465335117653012,21.01572036743164,0.6218440532684326,1.1889206935558922,0.8319280086132589,0.03230060480143186,0.06225105246563324,0.3029923663775245,0.06797858327627182,0.06797858327627182,0.5789171584750644,0.5645146288407277,1.200013934942738,0.9716444033686067,-0.2283695315741312,,,
